beta,gold,hoard,kl,method,motif,proxy,repeats,rm_agreement,seed,step
0.01,1.5763672590255737,0.4755859375,22.638086318969727,PPO,2.9658203125,9.784086227416992,1.2060546875,0.5170212984085083,2,45
0.01,1.6630859375,0.466796875,22.052921295166016,PPO,2.98046875,9.80275821685791,1.1064453125,0.5042194128036499,2,50
0.01,1.5154296159744263,0.3232421875,21.56354522705078,PPO,2.6259765625,9.800617218017578,1.0966796875,0.49682876467704773,2,55
0.01,1.3835936784744263,0.3076171875,20.410240173339844,PPO,2.568359375,9.811470031738281,1.2568359375,0.5098039507865906,2,60
0.01,1.4445312023162842,0.2353515625,19.8426456451416,PPO,2.4326171875,9.810440063476562,1.09765625,0.5661605000495911,2,65
0.01,1.3201171159744263,0.1455078125,19.593778610229492,PPO,2.078125,9.81814956665039,0.923828125,0.48614072799682617,2,69
0.0,-0.7185547351837158,0.0,0.17952688038349152,PPO,0.126953125,2.0483956336975098,1.4091796875,0.7562814354896545,2,0
0.0,0.1513671875,0.0009765625,5.607518196105957,PPO,0.501953125,7.663369178771973,0.58203125,0.6113743782043457,2,5
0.0,0.9330077767372131,0.0322265625,11.066239356994629,PPO,1.37890625,8.975151062011719,0.66796875,0.6086021661758423,2,10
0.0,1.53125,0.62109375,19.16327667236328,PPO,3.107421875,9.438425064086914,1.177734375,0.5131004452705383,2,15
0.0,1.1240234375,1.890625,27.75262451171875,PPO,4.796875,9.611632347106934,1.7099609375,0.48856547474861145,2,20
0.0,0.22363293170928955,4.076171875,36.02947235107422,PPO,7.0751953125,9.723814964294434,1.908203125,0.5359342694282532,2,25
0.0,-0.12929682433605194,3.0458984375,39.16902160644531,PPO,6.041015625,9.781354904174805,3.1767578125,0.5203251838684082,2,30
0.0,-1.0005860328674316,1.7490234375,51.13418197631836,PPO,4.6806640625,9.836111068725586,5.3876953125,0.5375253558158875,2,35
0.0,-0.8355469703674316,0.9345703125,53.54661178588867,PPO,3.7119140625,9.884101867675781,5.3984375,0.5333333611488342,2,40
0.0,-0.37753915786743164,0.2978515625,49.80817413330078,PPO,2.556640625,9.906143188476562,4.1953125,0.46817249059677124,2,45
0.0,-1.4214844703674316,0.04296875,54.59149932861328,PPO,1.486328125,9.912811279296875,4.74609375,0.5060728788375854,2,50
0.0,-1.4556641578674316,0.03125,56.02857971191406,PPO,1.4228515625,9.927888870239258,4.724609375,0.48275861144065857,2,55
0.0,-2.022265672683716,0.0087890625,59.250755310058594,PPO,0.9794921875,9.941972732543945,4.982421875,0.4819277226924896,2,60
0.0,-1.2751953601837158,0.005859375,58.338829040527344,PPO,1.2548828125,9.957501411437988,4.203125,0.5229166746139526,2,65
0.0,-1.4257813692092896,0.0048828125,61.55052947998047,PPO,1.09765625,9.966119766235352,4.1943359375,0.43983402848243713,2,69
